brand,model,price,avg_rating,battery,reviews,color,RAM,ROM,display_inches,user,price_bin
Redmi,Redmi a4 5g,8849.333333333334,4.3,5160.0,23256,2,4.0,64.0,6.88,232560,0-10k
Redmi,Redmi a5,6999.0,4.2,5200.0,14775,3,3.5,96.0,6.88,147750,0-10k
Redmi,Redmi note 12,12499.0,4.2,5000.0,69548,2,6.0,128.0,6.67,695480,10k-20k
Redmi,Redmi note 12 5g,13990.0,4.2,5000.0,15959,1,6.0,128.0,6.67,159590,10k-20k
Redmi,Redmi note 13 5g,16999.0,4.2,5000.0,18792,1,8.0,256.0,6.67,187920,10k-20k
Redmi,Redmi note 14 5g,17435.909090909092,4.236363636363636,5110.0,18987,4,8.0,128.0,6.670000000000001,189870,10k-20k
Redmi,Redmi note 14 pro 5g,24332.333333333332,4.3,5500.0,12462,2,8.0,256.0,6.669999999999999,124620,20k-30k
Redmi,Redmi note 14 pro+ 5g,27999.0,4.3,6200.0,2248,1,8.0,128.0,6.67,22480,20k-30k
Redmi,Redmi note 14 se 5g,14999.0,4.1,5110.0,5634,3,6.0,128.0,6.669999999999999,56340,10k-20k
Redmi,Redmi note-14 pro+ 5g,32444.0,4.4,6200.0,270,2,12.0,512.0,6.67,2700,30k-40k
Samsung,Samsung a16 5g,17099.0,4.0,5000.0,51,1,6.0,128.0,6.7,510,10k-20k
Samsung,Samsung galaxy,11599.0,4.3,3300.0,364334,1,3.0,64.0,5.5,3643340,10k-20k
Samsung,Samsung galaxy a04,12999.0,3.9,5000.0,228,1,4.0,128.0,6.5,2280,10k-20k
Samsung,Samsung galaxy a06,9632.333333333334,4.2,5000.0,549,2,4.0,128.0,6.7,5490,0-10k
Samsung,Samsung galaxy a06 5g,9864.0,4.0,5000.0,3150,2,4.0,64.0,6.7,31500,0-10k
Samsung,Samsung galaxy a14,9199.0,3.9,5000.0,188,1,4.0,64.0,6.6,1880,0-10k
Samsung,Samsung galaxy a15 5g,16990.0,4.3,5000.0,4130,1,8.0,128.0,6.5,41300,10k-20k
Samsung,Samsung galaxy a16 5g,17284.714285714286,4.2,5000.0,20978,3,8.0,128.0,6.7,209780,10k-20k
Samsung,Samsung galaxy a23,15999.0,4.3,5000.0,696,1,8.0,128.0,6.6,6960,10k-20k
Samsung,Samsung galaxy a25 5g,23489.0,4.2,5000.0,361,1,8.0,256.0,6.5,3610,20k-30k
Samsung,Samsung galaxy a26 5g,22999.0,4.0,5000.0,180,1,8.0,128.0,6.7,1800,20k-30k
